Categoria-1,Ref,Valutazione,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,Prezzo,PunteggioMedio,PunteggioAIS,Tipologia,Composizione,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGamberoRosso,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0000570,2,2018,Cantina Nals Margreid,Alto Adige Pinot Bianco Sirmian,Alto-Adige,Pinot Bianco,DOC,Alto-Adige,20-24,84,84,Bianco fermo,Pinot bianco 100%,14,45k,nd,8 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,
,0000570,3,2019,Cantina Nals Margreid,Alto Adige Pinot Bianco Sirmian,Alto-Adige,Pinot Bianco,DOC,Alto-Adige,20-24,86,86,Bianco fermo,Pinot bianco 100%,14.5,40k,Insalatina di cavolo cappuccio e speck,8 mesi in botte grande,"Paglierino tenue. Espressione olfattiva dal timbro evoluto: mela cotogna e muschio, sbuffi di sambuco e fiori di tiglio, su un tappeto di erbe aromatiche. L'assaggio è tutto concentrato su una vivace trama fresco-sapida, leggermente asciugante, prima di congedarsi lungo un'apprezzabile scia ammandorlata. ",,na,na,na,na,na,na,Italia,2,,,
,0000570-1,2★-4★,,Cantina Nals Margreid,Alto Adige Pinot Bianco Sirmian,Alto-Adige,Pinot Bianco,DOC,Alto-Adige,20-24,na,na,Bianco fermo,Pinot bianco 100%,14.5,40k-45k,Involtini di melanzane – Asparagi con salsa bolzanina – Insalatina di cavolo cappuccio e speck,8 mesi in botte grande,,,na,na,na,na,na,na,Italia,1,,,
,0000571,5,2012,Cantina Merano,Alto Adige Pinot Bianco Riserva V Years,Alto-Adige,Pinot Bianco – Riserva,DOC,Alto-Adige,50-54,91,91,Bianco fermo,Pinot bianco 100%,13.5,4k,Riso venere con zenzero e mazzancolle,60 mesi in acciaio + 12 mesi in botte,"Manto giallo dorato. Si sprigionano aromi sontuosi e avvincenti di mango e mandarino, miele, pane tostato, il tutto avvolto da un  soffio speziato di pepe verde. Sorso dalla freschezza finemente cesellata, che gioca con la corroborante vena sapida, prima di sfociare in una conclusione infinita, dai toni agrumati. Buona la struttura.",,na,na,na,na,na,na,Italia,2,,,
,0000571,5,2013,Cantina Merano,Alto Adige Pinot Bianco Riserva V Years,Alto-Adige,Pinot Bianco – Riserva,DOC,Alto-Adige,50-54,91,91,Bianco fermo,Pinot bianco 100%,13.5,4k,Astice in bellavista,60 mesi in acciaio + 12 mesi in botte,"Manto paglierino, nobilitato da lucenti inserti dorati. Appagante intreccio di pesca bianca  e agrumi, pompelmo e arancia in primis, poi pepe bianco, cioccolato al latte ed erbette di campo, a comporre un olfatto intrigante e articolato. Bocca grintosa, calda, poggia su una spalla fresco-sapida tesa e prorompente. Di strutturata eleganza, si avvia lentamente su ricordi di mandorla amara e sprazzi di agrumi",,na,na,na,na,na,na,Italia,2,,,
,0000571,2,2014,Cantina Merano,Alto Adige Pinot Bianco Riserva V Years,Alto-Adige,Pinot Bianco – Riserva,DOC,Alto-Adige,50-54,84,84,Bianco fermo,Pinot bianco 100%,14.5,2k,nd,60 mesi in acciaio + 12 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,
Vinitaly-2022,0000571,3,2015,Cantina Merano,Alto Adige Pinot Bianco Riserva V Years,Alto-Adige,Pinot Bianco – Riserva,DOC,Alto-Adige,50-54,86,86,Bianco fermo,Pinot bianco 100%,14,4k,nd,60 mesi in acciaio + 12 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,
,0000571-1,2★-5★,,Cantina Merano,Alto Adige Pinot Bianco Riserva V Years,Alto-Adige,Pinot Bianco – Riserva,DOC,Alto-Adige,50-54,na,na,Bianco fermo,Pinot bianco 100%,14,2k-4k,Riso venere con zenzero e mazzancolle – Astice in bellavista,60 mesi in acciaio + 12 mesi in botte,,,na,na,na,na,na,na,Italia,1,,,
,0000572,3,2015,San Michele Appiano,Alto Adige Sauvignon Sanct Valentin,Alto-Adige,Sauvignon,DOC,Alto-Adige,20-24,85,85,Bianco fermo,Sauvignon blanc 100%,14.5,130k,Flan di verze e asparagi,8 mesi in acciaio + 8 mesi in botte,"Paglierino delicato. Esordisce con richiami vegetali di erbe aromatiche, prosegue  con pesca bianca, lime e citronella, per terminare con una vena minerale. Di elegante concentrazione al palato, risulta caldo e di intrigante freschezza. Lascia una lunga scia.",,na,na,na,na,na,na,Italia,2,,,
,0000572,3,2016,San Michele Appiano,Alto Adige Sauvignon Sanct Valentin,Alto-Adige,Sauvignon,DOC,Alto-Adige,20-24,85,85,Bianco fermo,Sauvignon blanc 100%,14.5,130k,nd,8 mesi in acciaio + 8 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,
,0000572,2,2017,San Michele Appiano,Alto Adige Sauvignon Sanct Valentin,Alto-Adige,Sauvignon,DOC,Alto-Adige,20-24,84,84,Bianco fermo,Sauvignon blanc 100%,14.5,140k,nd,8 mesi in acciaio + 8 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,
,0000572,2,2018,San Michele Appiano,Alto Adige Sauvignon Sanct Valentin,Alto-Adige,Sauvignon,DOC,Alto-Adige,20-24,84,84,Bianco fermo,Sauvignon blanc 100%,14,145k,nd,8 mesi in acciaio + 8 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,
,0000572,2,2019,San Michele Appiano,Alto Adige Sauvignon Sanct Valentin,Alto-Adige,Sauvignon,DOC,Alto-Adige,20-24,84,84,Bianco fermo,Sauvignon blanc 100%,14,150k,nd,8 mesi in acciaio + 8 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,
Vinitaly-2022,0000572,3,2020,San Michele Appiano,Alto Adige Sauvignon Sanct Valentin,Alto-Adige,Sauvignon,DOC,Alto-Adige,25-29,86,86,Bianco fermo,Sauvignon blanc 100%,14,140k,nd,8 mesi in acciaio + 8 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,
,0000572-1,2★-3★,,San Michele Appiano,Alto Adige Sauvignon Sanct Valentin,Alto-Adige,Sauvignon,DOC,Alto-Adige,25-29,na,na,Bianco fermo,Sauvignon blanc 100%,14,130k-150k,Flan di verze e asparagi,8 mesi in acciaio + 8 mesi in botte,,,na,na,na,na,na,na,Italia,1,,,
,0000573,3,2018,Cantina Bolzano,Alto Adige Sauvignon Riserva Greel,Alto-Adige,Sauvignon – Riserva,DOC,Alto-Adige,25-29,86,86,Bianco fermo,Sauvignon blanc 100%,15,5k,nd,12 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,
Vinitaly-2022,0000573,3,2019,Cantina Bolzano,Alto Adige Sauvignon Riserva Greel,Alto-Adige,Sauvignon – Riserva,DOC,Alto-Adige,25-29,86,86,Bianco fermo,Sauvignon blanc 100%,14.5,5k,nd,12 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,
,0000573-1,3★,,Cantina Bolzano,Alto Adige Sauvignon Riserva Greel,Alto-Adige,Sauvignon – Riserva,DOC,Alto-Adige,25-29,na,na,Bianco fermo,Sauvignon blanc 100%,14.5,5k,nd,12 mesi in botte,,,na,na,na,na,na,na,Italia,1,,,
,0000574,5,2015,Cantina Convento Muri Gries,Alto Adige Lagrein Riserva Vigna Klosteranger,Alto-Adige,Lagrein – Riserva,DOC,Alto-Adige,75-79,91,91,Rosso fermo,Lagrein 100%,13.5,10k,Medaglioni di cervo e mele renette,22 mesi in barrique + 12 mesi in bottiglia,"Porpora impenetrabile. Bouquet delicato,  ricco e appagante: pepe nero, cacao amaro e vaniglia, mora e bacche di sambuco; raffinati aliti balsamici e cenni fumé a completare. Avvolge il palato con forza e calore, in perfetto equilibrio con la possente trama fresco-sapida. Teso e dritto, indugia sul tannino denso e nobile, accompagnando verso un finale dalla gradita traccia amaricante. Ha ampi margini di evoluzione davanti a sé.",,na,na,na,na,na,na,Italia,2,,,
Vinitaly-2022,0000574,5,2016,Cantina Convento Muri Gries,Alto Adige Lagrein Riserva Vigna Klosteranger,Alto-Adige,Lagrein – Riserva,DOC,Alto-Adige,75-79,92,92,Rosso fermo,Lagrein 100%,14,5k,Stufato di daino al ginepro,24 mesi in barrique + 12 mesi in bottiglia,"rubino | impenetrabile – balsamico - 100 | olive nere - 80 | foglia di tè - 80 | mora - 60 | frutta in confettura - 60 | prugna - 60 | cioccolato amaro - 40 – Il sorso è quasi dolce grazie alla rotondità del frutto. Il tannino massiccio dà sostegno alla sapidità. Teso, profondo e concentra to, persiste per lunghissimo tempo. ",,na,na,na,na,na,na,Italia,2,,,
,0000574-1,5★,,Cantina Convento Muri Gries,Alto Adige Lagrein Riserva Vigna Klosteranger,Alto-Adige,Lagrein – Riserva,DOC,Alto-Adige,75-79,na,na,Rosso fermo,Lagrein 100%,14,5k,Medaglioni di cervo e mele renette – Stufato di daino al ginepro,22-24 mesi in barrique + 12 mesi in bottiglia,,,na,na,na,na,na,na,Italia,1,,,
,0000577,4,2015,Tropfltalhof,Anphora Garnellen,Vino generico,,,Alto-Adige,45-49,90,90,Bianco fermo in anfora,Sauvignon blanc 100%,14.5,2k,Tagliolini astice e zafferano,Fermenta 7 mesi in anfora sulle bucce e matura 14 mesi in anfora sui lieviti,"Giallo paglierino dai preziosi bagliori dorati Emergono con forza schietti profumi di albicocca e mela cotogna, uva sultanina, curry e cannella, intervallati da miele e cera d'api, malto e tè verde. Sontuoso e pieno  il sorso, sorretto da vivace freschezza e sapidità. Avvolgenti aromi di cotognata lo accompagnano verso il lunghissimo finale.",,na,na,na,na,na,na,Italia,2,,,
Bologna Wine Fair 2022,0000577,5,2016,Tropfltalhof,Anphora Garnellen,Vino generico,,,Alto-Adige,45-49,94,94,Bianco fermo in anfora,Sauvignon blanc 100%,14,2k,Tortino di scamorza e pomodori,Fermenta 7 mesi in anfora sulle bucce e matura 14 mesi in anfora sui lieviti,"Prezioso oro cristallino. Presenta nuance  di mela, pesca gialla, pompelmo e buccia d'arancia in apertura, per progredire su menta e melissa, con un pizzico di pepe bianco e curry. DÀà il meglio di sé nell'espressione gustativa, dettata dalla combinazione di fresca vivacità e lieve astringenza. Procede spedito e teso, con spiccata intensità. Sfuma lento, su rintocchi di erbe aromatiche e buccia d'agrumi. ",,na,na,na,na,na,na,Italia,2,,,
,0000577-1,4★-5★,,Tropfltalhof,Anphora Garnellen,Vino generico,,,Alto-Adige,45-49,na,na,Bianco fermo in anfora,Sauvignon blanc 100%,14,2k,Tagliolini astice e zafferano – Tortino di scamorza e pomodori,Fermenta 7 mesi in anfora sulle bucce e matura 14 mesi in anfora sui lieviti,,,na,na,na,na,na,na,Italia,1,,,
